Brooks Orpik,Washington
Brendan Smith,Detroit
Steve Downie,Arizona
Sean Couturier,Philadelphia
Paul Gaustad,Nashville
Sergei Plotnikov,Pittsburgh
Nate Schmidt,Washington
Radek Faksa,Dallas
Scott Harrington,Toronto
Daniel Sprong,Pittsburgh
Nicolas Petan,Winnipeg
Ryan Reaves,St. Louis
Alexey Marchenko,Detroit
Connor McDavid,Edmonton
Brett Pesce,Carolina
Ben Chiarot,Winnipeg
Nicklas Grossmann,Arizona
Micheal Ferland,Calgary
John Mitchell,Colorado
Andrej Nestrasil,Carolina
Dennis Everberg,Colorado
T.J. Brodie,Calgary
Ryan Strome,New York Islanders
Brad Malone,Carolina
Barclay Goodrow,San Jose
Zach Parise,Minnesota
Christian Folin,Minnesota
Pascal Dupuis,Pittsburgh
Lauri Korpikoski,Edmonton
Brock McGinn,Carolina
Tanner Kero,Chicago
Nate Prosser,Minnesota
Tyler Randell,Boston
Robert Bortuzzo,St. Louis
Pierre-Edouard Bellemare,Philadelphia
Iiro Pakarinen,Edmonton
Jared Boll,Columbus
Brandon Gormley,Colorado
Nate Guenin,Colorado
Luke Gazdic,Edmonton
Martin Marincin,Toronto
Kevin Shattenkirk,St. Louis
Brandon Prust,Vancouver
Darnell Nurse,Edmonton
R.J. Umberger,Philadelphia
Duncan Keith,Chicago
Shane Prince,Ottawa
Brandon Davidson,Edmonton
Jiri Sekac,Anaheim
Eric Gelinas,New Jersey
Nikita Zadorov,Colorado
Carlo Colaiacovo,Buffalo
Steve Bernier,New York Islanders
Mason Raymond,Calgary
Evgeny Medvedev,Philadelphia
Anton Slepyshev,Edmonton
Eric Nystrom,Nashville
Chris Kelly,Boston
Josh Manson,Anaheim
Matt Puempel,Ottawa
Griffin Reinhart,Edmonton
Viktor Tikhonov,Chicago
Shawn Thornton,Florida
Joakim Andersson,Detroit
Leon Draisaitl,Edmonton
Aleksander Barkov,Florida
David Pastrnak,Boston
Evander Kane,Buffalo
Connor Brickley,Florida
Anthony Peluso,Winnipeg
Taylor Chorney,Washington
Paul Byron,Montreal
Cedric Paquette,Tampa Bay
Eric Fehr,Pittsburgh
Matt Hendricks,Edmonton
Michael Latta,Washington
Korbinian Holzer,Anaheim
Mike Weber,Buffalo
Chris Higgins,Vancouver
Alexander Wennberg,Columbus
Jordan Schroeder,Minnesota
Landon Ferraro,Detroit
Michal Jordan,Carolina
Joakim Nordstrom,Carolina
Marko Daňo,Chicago
Magnus Paajarvi,St. Louis
Nikolay Goldobin,San Jose
Justin Schultz,Edmonton
Chris Wideman,Ottawa
Joseph Morrow,Boston
Rocco Grimaldi,Florida
Derek Grant,Calgary
Chandler Stephenson,Washington
Brad Richards,Detroit
Justin Fontaine,Minnesota
Kevin Porter,Pittsburgh
David Clarkson,Columbus
Miikka Salomaki,Nashville
Stefan Matteau,New Jersey
Jaden Schwartz,St. Louis
Kyle Quincey,Detroit
Zach Trotman,Boston
Emerson Etem,New York Rangers
Melker Karlsson,San Jose
Derek Forbort,Los Angeles
Vincent Lecavalier,Philadelphia
Jordan Eberle,Edmonton
Rob Klinkhammer,Edmonton
Stefan Elliott,Arizona
Micheal Haley,San Jose
Bryan Bickell,Chicago
Ben Street,Colorado
Mark Arcobello,Toronto
Kerby Rychel,Columbus
Erik Gustafsson,Chicago
Andreas Martinsen,Colorado
Pavel Datsyuk,Detroit
Adam Pardy,Winnipeg
John Scott,Arizona
Frank Vatrano,Boston
Andreas Athanasiou,Detroit
Garrett Wilson,Florida
Nikita Nesterov,Tampa Bay
Brad Stuart,Colorado
Bryan Lerg,San Jose
Maxime Talbot,Boston
Mikko Rantanen,Colorado
Brandon Mashinter,Chicago
Patrick Eaves,Dallas
Andrew Miller,Edmonton
Brett Kulak,Calgary
Paul Stastny,St. Louis
Dennis Seidenberg,Boston
Ty Rattie,St. Louis
Jamie Oleksiak,Dallas
Tyler Gaudet,Arizona
Jon Marchessault,Tampa Bay
Colton Sissons,Nashville
Greg Pateryn,Montreal
Andrew Ference,Edmonton
Max Friberg,Anaheim
Michal Rozsival,Chicago
Bryan Rust,Pittsburgh
David Rundblad,Chicago
Shayne Gostisbehere,Philadelphia
Tomas Jurco,Detroit
Tim Schaller,Buffalo
Adam Clendening,Pittsburgh
Thomas Hickey,New York Islanders
Viktor Arvidsson,Nashville
Ladislav Smid,Calgary
Nick Ritchie,Anaheim
Dylan McIlrath,New York Rangers
Steven Kampfer,Florida
Simon Despres,Anaheim
Max McCormick,Ottawa
Travis Moen,Dallas
Clarke MacArthur,Ottawa
Taylor Leier,Philadelphia
Ben Smith,San Jose
Vincent Hinostroza,Chicago
Mirco Mueller,San Jose
Josh Anderson,Columbus
Ryan Hartman,Chicago
Tommy Cross,Boston
Logan Couture,San Jose
Stanislav Galiev,Washington
Zach Bogosian,Buffalo
Philip Samuelsson,Arizona
Lance Bouma,Calgary
Tuomo Ruutu,New Jersey
Matt Greene,Los Angeles
Borna Rendulic,Colorado
Reid Boucher,New Jersey
Brett Bulmer,Minnesota
Devin Shore,Dallas
Jordan Weal,Los Angeles
Zach Redmond,Colorado
Johan Franzen,Detroit
Joel Vermin,Tampa Bay
Brendan Gaunce,Vancouver
Martin Havlat,St. Louis
Tanner Glass,New York Rangers
Rich Clune,Toronto
Adam Pelech,New York Islanders
Taylor Beck,New York Islanders
Mike Blunden,Tampa Bay
Patrik Nemeth,Dallas
Jaccob Slavin,Carolina
Jeremy Welsh,St. Louis
Chris Butler,St. Louis
Kyle Baun,Chicago
Christoph Bertschy,Minnesota
Luke Witkowski,Tampa Bay
Dylan DeMelo,San Jose
Craig Cunningham,Arizona
Tim Jackman,Anaheim
Paul Postma,Winnipeg
Alexander Khokhlachev,Boston
Sean Collins,Washington
Matt Irwin,Boston
Tye McGinn,Tampa Bay
Dustin Jeffrey,Arizona
Victor Bartley,Nashville
Logan Shaw,Florida
Sven Andrighetto,Montreal
Gustav Olofsson,Minnesota
Anthony Bitetto,Nashville
Slater Koekkoek,Tampa Bay
Curtis McKenzie,Dallas
Jeff Schultz,Los Angeles
Patrice Cormier,Winnipeg
Kurtis Gabriel,Minnesota
Alexandre Grenier,Vancouver
Michael Keränen,Minnesota
Hunter Shinkaruk,Vancouver
Matt Taormina,Tampa Bay
Joe Vitale,Arizona
James Wisniewski,Carolina
John McCarthy,San Jose
Alex Biega,Vancouver
Andrew Bodnarchuk,Columbus
Markus Granlund,Calgary
Tyler Graovac,Minnesota
